what are bigos?	["Stew"]	["Polish food"]
who played kirk?	["Jimmy Bennett", "Chris Pine", "William Shatner"]	["William Shatner", "Chris Pine", "Jimmy Bennett"]
what did romo do?	["Baseball player"]	["Denmark"]
what does sarabi?	["Physician"]	["Cancer", "Leukemia"]
who is rick scott?	["Investor", "Businessperson", "Politician", "Lawyer"]	["Businessperson", "Lawyer", "Politician", "Investor"]
who did lbj marry?	["Lady Bird Johnson"]	["Lady Bird Johnson"]
who was dan white?	["Firefighter", "Politician", "Police officer"]	["Politician", "Police officer", "Firefighter"]
who plays kenneth?	["Jack McBrayer"]	["Jack McBrayer"]
what did hayes do?	["President of the United States", "Governor of Ohio"]	["Myocardial infarction"]
what does gm make?	["Automobile"]	["Chevrolet", "Buick", "Pontiac", "Cadillac", "Oldsmobile", "Hummer"]
who played jeannie?	["Barbara Eden"]	["Mark Hamill", "Bob Hastings", "Janet Waldo", "Julie McWhirter", "Joe Besser"]
who inspired obama?	["Saul Alinsky", "Nipsey Russell"]	["Craig McKenzie"]
what is new france?	["North America"]	["Les Mis\u00e9rables"]
who created arthur?	["WGBH", "Marc Brown"]	[]
who plays voldemort?	["Richard Bremmer", "Frank Dillane", "Ralph Fiennes", "Hero Fiennes-Tiffin", "Christian Coulson"]	["Ralph Fiennes", "Richard Bremmer", "Frank Dillane", "Christian Coulson", "Hero Fiennes-Tiffin"]
who is ruling libya?	["Mohammed Magariaf"]	["Muammar al-Gaddafi", "Abdul Hafiz Ghoga", "Mustafa Abdul Jalil", "Baghdadi Mahmudi", "Mohammed Ali Salim", "Abdessalam Jalloud", "Abdurrahim El-Keib", "Mustafa A.G. Abushagur", "Mohammed Magariaf", "Mahmud Sulayman al-Maghribi", "Ali Zeidan", "Mahmoud Jibril", "Ali Tarhouni", "Mohamed Abdelaziz"]
who founded the kkk?	["Albert Pike", "David Duke", "William Joseph Simmons"]	["Albert Pike", "William Joseph Simmons", "David Duke"]
who founded the afl?	["Bud Adams"]	["Lamar Hunt", "Bud Adams"]
who is jimmy savile?	["Presenter"]	["Presenter", "Disc jockey"]
what was john tyler?	["President of the United States"]	["Lawyer", "Politician"]
who won fa cup 1976?	["Manchester United F.C."]	["Manchester City F.C.", "Sunderland A.F.C.", "Leeds United A.F.C.", "Coventry City F.C.", "Liverpool F.C.", "Manchester United F.C.", "West Ham United F.C.", "Tottenham Hotspur F.C.", "Arsenal F.C.", "Everton F.C.", "Chelsea F.C.", "West Bromwich Albion F.C.", "Portsmouth F.C.", "Ipswich Town F.C.", "Wimbledon F.C.", "Southampton F.C."]
what fma stands for?	["FullMetal Alchemist"]	["Hagane no renkinjutsushi"]
when tupac was shot?	["Tupac 1994 assault"]	["Las Vegas"]
who was kate chopin?	["Writer"]	["Businessperson", "Novelist", "Writer", "Author"]
when did annie open?	["Annie (1977 original Broadway cast)"]	["1977-04-21"]
who was vp for nixon?	["Spiro Agnew", "Gerald Ford"]	["Dwight D. Eisenhower"]
what do see in paris?	["Mus\u00e9e Maillol", "Palace of Versailles", "Eiffel Tower", "\u00cele de la Cit\u00e9", "Caf\u00e9 Volpini", "Notre Dame de Paris", "Folies Berg\u00e8re", "Arc de Triomphe", "Basilica of the Sacr\u00e9 C\u0153ur", "Panth\u00e9on, Paris"]	["Palais de Chaillot", "Tuileries Garden", "Parc de la Villette", "Bois de Vincennes", "Gare de Parc de Sceaux", "Bois de Boulogne", "Jardin du Luxembourg"]
where is kansas city?	["Platte County"]	["Missouri", "United States of America", "Area code 816", "Area code 913"]
what does ringo sing?	["Yellow Submarine", "Pinocchio Medley (Do You See the Noses Growing?): Desolation Theme / When You Wish Upon a Star", "Good Night", "I Shall Be Released", "Roll Over Beethoven", "Tommy's Holiday Camp", "Sweet Little Sixteen", "California Calling", "Honey Don't", "Don\u2019t Pass Me By"]	["Psychedelic rock", "Pop music", "Rock music", "World music"]
who is michael buble?	["Singer", "Actor", "Singer-songwriter"]	["Actor", "Singer", "Songwriter"]
who owns google 2012?	["Larry Page", "Sergey Brin"]	["Larry Page", "Sergey Brin"]
where is shakira from?	["Colombia"]	["Colombia"]
where is mali located?	["Africa", "West Africa"]	["Africa", "West Africa"]
who plays john connor?	["Edward Furlong", "Christian Bale", "Nick Stahl"]	["Nick Stahl", "Christian Bale", "Edward Furlong"]
who is moira in x men?	["Olivia Williams", "Rose Byrne"]	[]
who plays simon birch?	["Ian Michael Smith"]	["Ian Michael Smith"]
who do pagans worship?	["Odin"]	["Odin"]
who plays donna noble?	["Catherine Tate"]	["Catherine Tate"]
who owns mazda canada?	["Ford Motor Company"]	["Jujiro Matsuda"]
what was lucille ball?	["Singer", "Model", "Comedian", "Television Producer", "Actor"]	["Actor", "Television Producer", "Singer", "Comedian", "Model"]
what was robert burns?	["Poet", "Writer", "Bard", "Author"]	["Robert Burns"]
when was john paul ii?	["10/16/1978"]	["1920-05-18"]
who were mary shelley?	["Author"]	["Editor", "Novelist", "Writer", "Author", "Biographer", "Essayist", "Dramatist", "Travel writer"]
where is the un based?	["New York City"]	["New York City"]
who is thor heyerdahl?	["Film Director", "Scientist", "Cinematographer", "Actor", "Film Producer"]	["Film Producer", "Actor", "Scientist", "Film Director", "Cinematographer"]
who was wesley snipes?	["Film Producer", "Martial artist", "Actor"]	["Businessperson", "Film Producer", "Actor", "Martial artist"]
what language tunisia?	["French Language", "Arabic Language"]	["Arabic Language"]
where is daud ibrahim?	["Maharashtra"]	[]
who plays juni cortez?	["Daryl Sabara"]	["Daryl Sabara"]
who is angelina jolie?	["Actor"]	["Film Producer", "Actor", "Writer", "Screenwriter", "Voice Actor", "Film Director", "Model"]
what did dr. seuss do?	["Writer"]	["Film Producer", "Poet", "Writer", "Screenwriter", "Songwriter", "Cartoonist", "Artist", "Animator"]
who is moira en x men?	["Mutant"]	["Storm Force Accelatron"]
where is nineveh city?	["Iraq"]	[]
who is jacob latimore?	["Singer", "Actor"]	["Actor", "Singer", "Dancer"]
who wrote st trinians?	["Ronald Searle"]	["The Wildcats of St Trinian's"]
what sri lanka capital?	["Sri Jayawardenapura Kotte"]	["Sri Jayawardenapura Kotte"]
where buddha come from?	["Lumbini"]	["Kushinagar"]
who was vp for lincoln?	["Andrew Johnson", "Hannibal Hamlin"]	["Vincent \"Randy\" Chin"]
what does monsanto own?	["Agricultural Chemicals", "Seed", "Agriculture", "Chemical industry"]	["Agriculture", "Agricultural Chemicals", "Chemical industry", "Seed"]
who plays billy elliot?	["Jamie Bell"]	["Mike Elliott", "Julie Walters", "Gary Lewis", "Jamie Draven", "Stuart Wells", "Joe Renton", "Jamie Bell", "Nicola Blackwell", "Jean Heywood", "Carol McGuigan", "Colin MacLachlan", "Trevor Fox", "Janine Birkett", "Billy Fane", "Charlie Hardwick"]
who was gerald ford vp?	["Nelson Rockefeller"]	["Lawyer", "Politician", "American football player"]
what does bentley mean?	["Bentley Motors Limited"]	["Automotive industry", "Manufacturing"]
who plays harley quinn?	["Arleen Sorkin", "Mia Sara", "Hynden Walch"]	["Chrissy Kiehl"]
